id,name,genres,popularity,followers,ranking
06HL4z0CvFAxyc27GXpf02,Taylor Swift,[],98,137138687,1
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,[],92,66955243,2
6vWDO969PvNqNYHIOW5v0m,Beyoncé,[],88,40278843,3
4dpARuHxo51G3z768sgnrY,Adele,['soft pop'],87,64060718,4
6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],87,37030725,5
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['art pop', 'pop']",95,37740851,6
1KCSPY1glIKqW2TotWuXOR,P!nk,[],82,17862954,7
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,['pop'],94,105220521,8
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,[],85,25925836,9
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,"['r&b', 'neo soul']",80,12573685,10
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,['christmas'],75,10822165,11
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,['christmas'],80,11387651,12
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,['country'],73,6101851,13
26dSoYclwsYLMAKD3tpOr4,Britney Spears,['pop'],84,16715342,14
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,[],95,111545126,15
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,[],87,33866181,16
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,[],72,7848325,17
7tYKF4w9nC0nq9CsPZTHyP,SZA,['r&b'],93,29676514,18
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,[],79,11712533,19
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,[],80,8953113,20
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,[],88,45659380,21
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,[],78,13557641,22
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,['r&b'],74,4206211,23
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,[],87,33229604,24
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,['pop'],89,46004188,25
6LqNN22kT3074XbTVUrhzX,Kesha,[],82,8691667,26
4kYSro6naA4h99UJvo89HB,Cardi B,[],81,25309848,27
3r17AfJCCUqC9Lf0OAc73G,Fergie,[],72,6019417,28
5rkVyNGXEgeUqKkB5ccK83,Ashanti,['r&b'],74,3418613,29
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,['pop'],88,52511086,30
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,[],74,3308194,31
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,[],76,6867840,32
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,[],78,15730440,33
25IG9fa7cbdmCIy3OnuH57,The Chicks,['country'],68,1505709,34
25NQNriVT2YbSW80ILRWJa,Faith Hill,['country'],64,1919901,35
6tbjWDEIzxoDsBA1FuhfPW,Madonna,[],81,8527042,36
26VFTg2z8YR0cCuwLzESi2,Halsey,[],84,22117710,37
2NdeV5rLm47xAvogXrYhJX,Ciara,[],73,7128502,38
5nGIFgo0shDenQYSE0Sn7c,Evanescence,['alternative metal'],78,5513582,39
2wIVse2owClT7go1WT98tk,Missy Elliott,['hip hop'],73,2654700,40
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,['new jack swing'],71,4050375,41
56oDRnqbIiwx4mymNEv7dS,Lizzo,[],72,5717184,42
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,[],79,4421289,43
163tK9Wjr9P9DmM0AVK7lm,Lorde,[],83,10321243,44
0EmeFodog0BfCgMzAIvKQp,Shakira,['latin pop'],88,37931305,45
0hYxQe3AK5jBPCr5MumLHD,Sugarland,['country'],58,1973216,46
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,['r&b'],68,4860598,47
4S9EykWXhStSc15wEx8QFK,Céline Dion,['variété française'],77,9790058,48
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,[],72,6037844,49
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,[],92,22259234,50
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,[],82,34907445,51
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,[],79,27156808,52
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,[],70,1284008,53
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,[],69,2542930,54
5WUlDfRSoLAfcVSX1WnrxN,Sia,[],86,29843558,55
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,['country'],71,3679100,56
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,[],67,3715315,57
1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,['r&b'],72,4189104,58
0cQbJU1aAzvbEmTuljWLlF,No Doubt,[],71,3033471,59
2mpeljBig2IXLXRAFO9AAs,Dido,[],76,2041230,60
6uothxMWeLWIhsGeF7cyo4,Enya,"['new age', 'celtic']",74,2441230,61
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,[],82,13041799,62
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,[],81,10406440,63
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,[],67,1981532,64
2tFN9ubMXEhdAQvdQxcsma,Jessica Simpson,[],50,1300683,65
5e4Dhzv426EvQe3aDb64jL,Shania Twain,['country'],74,3274350,66
4d3yvTptO48nOYTPBcPFZC,Eve,[],70,1517879,67
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,[],76,1869687,68
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,[],79,11143326,69
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,[],71,6762222,70
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,[],92,47335543,71
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,[],79,9567450,72
2S9W9aSAd7e5mp8WqWxN2h,Hilary Duff,[],57,2358724,73
0IdYRFTswLdsGwSnzOaGNF,Gretchen Wilson,['country'],58,955762,74
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,[],73,5095911,75
1qAuetfG6mhtDgsVIffWQc,Susan Boyle,['christmas'],47,257421,76
2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,[],65,2486346,77
4hqDqHtBlgxXpLXVYf7c8L,Ashlee Simpson,['bubblegum pop'],50,978254,78
3P33qFNGBVXl86yQYWspFj,Martina McBride,['country'],58,1396591,79
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,[],87,6138698,80
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"['classic rock', 'soft rock']",84,13104692,81
75FnCoo4FBxH5K1Rrx0k5A,The Band Perry,['country'],57,1611311,82
5rScKX1Sh1U67meeUyTGwk,Michelle Branch,[],61,676948,83
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,[],75,12121015,84
57LYzLEk2LcFghVwuWbcuS,Summer Walker,['r&b'],80,7615041,85
02rd0anEWfMtF7iMku9uor,Reba McEntire,['country'],63,2171731,86
63wjoROpeh5f11Qm93UiJ1,Keri Hilson,[],71,2096850,87
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,['adult standards'],65,1634587,88
6lHL3ubAMgSasKjNqKb8HF,Mýa,[],64,1521301,89
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,[],79,9618202,90
74XFHRwlV6OrjEM0A2NCMF,Paramore,"['pop punk', 'emo', 'emo pop']",82,9389759,91
5tth2a3v0sWwV1C7bApBdX,Lil' Kim,['east coast hip hop'],67,1850564,92
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,['christmas'],58,449053,93
3X458ddYA2YcVWuVIGGOYe,Toni Braxton,['r&b'],66,4394763,94
25uiPmTg16RbhZWAqwLBy5,Charli xcx,"['hyperpop', 'art pop']",87,5485762,95
47zz7sob9NUcODy0BTDvKx,Sade,[],78,4712707,96
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,[],71,16286741,97
7xAcVHPiirnUqfdqo0USb1,Fantasia,['r&b'],58,2186626,98
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,[],66,686126,99
3FD9VAd0ppjmKbfxF4LzUh,Danity Kane,[],49,652152,100
